Codigo_temporada;Codigo_competicion;Codigo_fase;Codigo_grupo;Codigo_equipo;Posicion;Puntos;Partidos_jugados;Partidos_ganados;Partidos_empatados;Partidos_perdidos;Goles_favor;Goles_contra;Nombre_temporada;Nombre_competicion;Nombre_fase;Nombre_grupo;Nombre_deporte;Nombre_categoria;Nombre_equipo;Nombre-Sexo;Nombre_distrito
2024;8858 ;9697;24122;160261;7;1.00;1;0;1;0;2;2;2024/2025;45 JUEGOS DEPORTIVOS MUNICIPALES;FASE GRUPO 45 JDM;JDM FUE SAB TAR F7 SEN MAS GRUPO A;FUTBOL 7;SENIOR ;NEW TEAM;MASCULINO;Fuencarral - El Pardo
2024;8858 ;9697;24122;160262;5;3.00;1;1;0;0;1;0;2024/2025;45 JUEGOS DEPORTIVOS MUNICIPALES;FASE GRUPO 45 JDM;JDM FUE SAB TAR F7 SEN MAS GRUPO A;FUTBOL 7;SENIOR ;Pescadinha FC;MASCULINO;Fuencarral - El Pardo
2024;8858 ;9697;24122;160263;9;.00;1;0;0;1;0;1;2024/2025;45 JUEGOS DEPORTIVOS MUNICIPALES;FASE GRUPO 45 JDM;JDM FUE SAB TAR F7 SEN MAS GRUPO A;FUTBOL 7;SENIOR ;Rayax FC;MASCULINO;Fuencarral - El Pardo
2024;8858 ;9697;24122;160264;3;3.00;1;1;0;0;4;1;2024/2025;45 JUEGOS DEPORTIVOS MUNICIPALES;FASE GRUPO 45 JDM;JDM FUE SAB TAR F7 SEN MAS GRUPO A;FUTBOL 7;SENIOR ;Shakhtar de Chamartin;MASCULINO;Fuencarral - El Pardo
2024;8858 ;9697;24122;160265;2;3.00;1;1;0;0;7;2;2024/2025;45 JUEGOS DEPORTIVOS MUNICIPALES;FASE GRUPO 45 JDM;JDM FUE SAB TAR F7 SEN MAS GRUPO A;FUTBOL 7;SENIOR ;Sporting de Sarria;MASCULINO;Fuencarral - El Pardo
2024;8858 ;9697;24122;160266;8;.00;1;0;0;1;1;2;2024/2025;45 JUEGOS DEPORTIVOS MUNICIPALES;FASE GRUPO 45 JDM;JDM FUE SAB TAR F7 SEN MAS GRUPO A;FUTBOL 7;SENIOR ;Unión Germánica CF;MASCULINO;Fuencarral - El Pardo
2024;8856 ;9689;24008;159869;6;.00;0;0;0;0;0;0;2024/2025;45 JUEGOS DEPORTIVOS MUNICIPALES;FASE GRUPO 45 JDM;JDM CHB DOM TAR FS SEN MAS P. SANTANDER;FUTBOL SALA;SENIOR ;Bakers;MASCULINO;Chamberí
2024;8856 ;9689;24008;159870;11;.00;1;0;0;1;2;6;2024/2025;45 JUEGOS DEPORTIVOS MUNICIPALES;FASE GRUPO 45 JDM;JDM CHB DOM TAR FS SEN MAS P. SANTANDER;FUTBOL SALA;SENIOR ;Celta de virgos;MASCULINO;Chamberí
2024;8856 ;9689;24008;159871;5;3.00;1;1;0;0;5;4;2024/2025;45 JUEGOS DEPORTIVOS MUNICIPALES;FASE GRUPO 45 JDM;JDM CHB DOM TAR FS SEN MAS P. SANTANDER;FUTBOL SALA;SENIOR ;EL BRASIL;MASCULINO;Chamberí
2024;8856 ;9689;24008;159872;3;3.00;1;1;0;0;3;1;2024/2025;45 JUEGOS DEPORTIVOS MUNICIPALES;FASE GRUPO 45 JDM;JDM CHB DOM TAR FS SEN MAS P. SANTANDER;FUTBOL SALA;SENIOR ;Laguneta;MASCULINO;Chamberí
2024;8856 ;9689;24008;159874;4;3.00;1;1;0;0;2;1;2024/2025;45 JUEGOS DEPORTIVOS MUNICIPALES;FASE GRUPO 45 JDM;JDM CHB DOM TAR FS SEN MAS P. SANTANDER;FUTBOL SALA;SENIOR ;MASEBE KAPITAL;MASCULINO;Chamberí
2024;8856 ;9689;24008;159875;10;.00;1;0;0;1;3;6;2024/2025;45 JUEGOS DEPORTIVOS MUNICIPALES;FASE GRUPO 45 JDM;JDM CHB DOM TAR FS SEN MAS P. SANTANDER;FUTBOL SALA;SENIOR ;MSC OLD BOYS;MASCULINO;Chamberí
2024;8856 ;9689;24008;159876;2;3.00;1;1;0;0;6;3;2024/2025;45 JUEGOS DEPORTIVOS MUNICIPALES;FASE GRUPO 45 JDM;JDM CHB DOM TAR FS SEN MAS P. SANTANDER;FUTBOL SALA;SENIOR ;RB F.C.;MASCULINO;Chamberí
2024;8856 ;9689;24008;159877;8;.00;1;0;0;1;1;2;2024/2025;45 JUEGOS DEPORTIVOS MUNICIPALES;FASE GRUPO 45 JDM;JDM CHB DOM TAR FS SEN MAS P. SANTANDER;FUTBOL SALA;SENIOR ;SCHALKE TEMETO F.S.;MASCULINO;Chamberí
2024;8856 ;9689;24008;163232;9;.00;1;0;0;1;1;3;2024/2025;45 JUEGOS DEPORTIVOS MUNICIPALES;FASE GRUPO 45 JDM;JDM CHB DOM TAR FS SEN MAS P. SANTANDER;FUTBOL SALA;SENIOR ;SWÖLIMS XX;MASCULINO;Chamberí
2024;8856 ;9689;24008;163249;7;.00;1;0;0;1;4;5;2024/2025;45 JUEGOS DEPORTIVOS MUNICIPALES;FASE GRUPO 45 JDM;JDM CHB DOM TAR FS SEN MAS P. SANTANDER;FUTBOL SALA;SENIOR ;LOS TITIS;MASCULINO;Chamberí
2024;8856 ;9689;24008;163252;1;3.00;1;1;0;0;6;2;2024/2025;45 JUEGOS DEPORTIVOS MUNICIPALES;FASE GRUPO 45 JDM;JDM CHB DOM TAR FS SEN MAS P. SANTANDER;FUTBOL SALA;SENIOR ;UD Mamayema;MASCULINO;Chamberí
2024;8859 ;9701;24198;158246;2;3.00;1;1;0;0;4;0;2024/2025;45 JUEGOS DEPORTIVOS MUNICIPALES;FASE GRUPO 45 JDM;JDM HOR F7 SEN MAS DOM TAR GR.3;FUTBOL 7;SENIOR ;Atlético Chiskeiro;MASCULINO;Hortaleza
2024;8859 ;9701;24198;158247;6;1.00;1;0;1;0;2;2;2024/2025;45 JUEGOS DEPORTIVOS MUNICIPALES;FASE GRUPO 45 JDM;JDM HOR F7 SEN MAS DOM TAR GR.3;FUTBOL 7;SENIOR ;Cebollitas F.C.;MASCULINO;Hortaleza
2024;8854 ;9681;23832;159914;8;.00;1;0;0;1;0;3;2024/2025;45 JUEGOS DEPORTIVOS MUNICIPALES;FASE GRUPO 45 JDM;JDM CEN DOM TAR F7 SEN MAS Samaranch;FUTBOL 7;SENIOR ;Bayërn de los Caídos CF;MASCULINO;Centro
2024;8854 ;9681;23832;159915;7;.00;1;0;0;1;2;4;2024/2025;45 JUEGOS DEPORTIVOS MUNICIPALES;FASE GRUPO 45 JDM;JDM CEN DOM TAR F7 SEN MAS Samaranch;FUTBOL 7;SENIOR ;Bictoria;MASCULINO;Centro
2024;8854 ;9681;23832;159916;1;3.00;1;1;0;0;6;0;2024/2025;45 JUEGOS DEPORTIVOS MUNICIPALES;FASE GRUPO 45 JDM;JDM CEN DOM TAR F7 SEN MAS Samaranch;FUTBOL 7;SENIOR ;Consejo FC;MASCULINO;Centro
2024;8854 ;9681;23832;159917;10;.00;1;0;0;1;1;5;2024/2025;45 JUEGOS DEPORTIVOS MUNICIPALES;FASE GRUPO 45 JDM;JDM CEN DOM TAR F7 SEN MAS Samaranch;FUTBOL 7;SENIOR ;GAPOLES FC;MASCULINO;Centro
2024;8854 ;9681;23832;159918;2;3.00;1;1;0;0;6;0;2024/2025;45 JUEGOS DEPORTIVOS MUNICIPALES;FASE GRUPO 45 JDM;JDM CEN DOM TAR F7 SEN MAS Samaranch;FUTBOL 7;SENIOR ;Gran Imperial;MASCULINO;Centro
2024;8854 ;9681;23832;159919;4;3.00;1;1;0;0;6;2;2024/2025;45 JUEGOS DEPORTIVOS MUNICIPALES;FASE GRUPO 45 JDM;JDM CEN DOM TAR F7 SEN MAS Samaranch;FUTBOL 7;SENIOR ;Inter Argan C. F.;MASCULINO;Centro
2024;8854 ;9681;23832;159920;9;.00;1;0;0;1;2;6;2024/2025;45 JUEGOS DEPORTIVOS MUNICIPALES;FASE GRUPO 45 JDM;JDM CEN DOM TAR F7 SEN MAS Samaranch;FUTBOL 7;SENIOR ;Kubo King FC;MASCULINO;Centro
2024;8854 ;9681;23832;159921;11;.00;1;0;0;1;0;6;2024/2025;45 JUEGOS DEPORTIVOS MUNICIPALES;FASE GRUPO 45 JDM;JDM CEN DOM TAR F7 SEN MAS Samaranch;FUTBOL 7;SENIOR ;La Connect F.C.;MASCULINO;Centro
2024;8854 ;9681;23832;159922;3;3.00;1;1;0;0;5;1;2024/2025;45 JUEGOS DEPORTIVOS MUNICIPALES;FASE GRUPO 45 JDM;JDM CEN DOM TAR F7 SEN MAS Samaranch;FUTBOL 7;SENIOR ;Moratin CF;MASCULINO;Centro
